,day,precipitation,temp_max,temp_avg,temp_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,pressure_max,pressure_avg,pressure_min,month,year
173,24,0.00,77,65.9,0,63,57.6,0,94,72.2,0,21,18.0,12,25.4,24.3,0.0,6,2015
174,25,0.00,77,65.7,0,64,59.0,0,94,75.8,0,21,17.0,14,25.4,24.3,0.0,6,2015
175,26,0.00,77,66.6,0,63,60.3,0,94,76.2,0,21,16.8,14,25.3,24.3,0.0,6,2015
176,27,0.00,81,70.3,63,64,59.4,52,94,71.1,37,18,15.0,9,25.3,25.3,25.3,6,2015
177,28,0.00,79,66.7,0,64,58.3,0,100,72.3,0,16,12.5,9,25.4,24.3,0.0,6,2015
178,29,0.00,79,50.9,0,64,46.8,0,94,62.1,0,18,10.8,0,25.4,19.0,0.0,6,2015
179,30,0.00,77,66.0,0,66,59.4,0,94,76.0,0,18,14.0,9,25.3,24.3,0.0,6,2015
180,1,0.00,77,68.9,63,61,57.4,52,94,69.0,41,25,16.2,9,25.3,25.3,25.2,7,2015
181,2,0.00,81,66.7,0,63,58.0,0,94,71.3,0,21,13.6,9,25.3,24.3,0.0,7,2015
182,3,0.00,81,68.1,0,64,59.1,0,94,70.2,0,21,15.8,9,25.3,24.3,0.0,7,2015
183,4,0.00,79,67.2,0,63,57.9,0,94,69.9,0,21,16.3,12,25.3,24.3,0.0,7,2015
184,5,0.00,77,69.6,63,64,61.5,59,88,75.7,57,21,15.7,9,25.4,25.3,25.3,7,2015
185,6,0.00,79,66.8,0,64,59.7,0,100,74.8,0,21,12.9,9,25.4,23.3,0.0,7,2015
186,7,0.00,77,68.6,63,63,58.6,55,94,72.0,47,21,14.3,9,25.4,25.3,25.3,7,2015
187,8,0.00,73,66.9,63,61,57.3,48,94,73.5,43,18,14.8,9,25.3,25.3,25.3,7,2015
188,9,0.00,73,46.8,0,63,42.2,0,100,57.1,0,21,14.0,9,25.3,17.9,0.0,7,2015
189,10,0.00,68,57.6,0,64,54.6,0,100,78.6,0,18,13.5,9,25.3,22.5,0.0,7,2015
190,11,0.00,75,67.6,63,64,61.2,57,100,81.2,53,21,13.4,0,25.4,25.3,25.3,7,2015
